Sp,Taxa,Level,Order,Length,Length.ref,Length.taxa,Feed.ord,Full
Simocephalus.vetulus,Simocephalus vetulus,Species,Cladocera/Anomopoda,1.85,Hébert.2016; Lynch.1980,Simocephalus vetulus,2,"Simocephalus vetulus (Müller, 1776)"
Acanthodiaptomus.denticornis,Acanthodiaptomus denticornis,Species,Calanoida,1.65,MacLennan.2015,Acanthodiaptomus denticornis,3,"Acanthodiaptomus denticornis (Wierzejski, 1887)"
Aglaodiaptomus.forbesi,Aglaodiaptomus forbesi,Species,Calanoida,1.5,Edmondson.1959,Pseudodiaptomus forbesi,3,"Aglaodiaptomus forbesi (Light, 1938)"
Aglaodiaptomus.leptopus,Aglaodiaptomus leptopus,Species,Calanoida,1.81,Loewen.2016,Aglaodiaptomus leptopus,3,"Aglaodiaptomus leptopus (Forbes, 1882)"
Aglaodiaptomus.lintoni,Aglaodiaptomus lintoni,Species,Calanoida,2,Edmondson.1959,Diaptomus lintoni,3,"Aglaodiaptomus lintoni (Forbes, 1893)"
Arctodiaptomus.arapahoensis,Arctodiaptomus arapahoensis,Species,Calanoida,1.25,Loewen.2016,Arctodiaptomus arapahoensis,3,"Arctodiaptomus arapahoensis (Dodds, 1915)"
Diaptomus,Diaptomus,Genus,Calanoida,0.6,Hébert.2016; CIEE.2012,Diaptomids (genus),3,"Diaptomus (Westwood, 1836)"
Hesperodiaptomus.arcticus,Hesperodiaptomus arcticus,Species,Calanoida,3,Edmondson.1959,Diaptomus arcticus,3,"Hesperodiaptomus arcticus (Marsh, 1920)"
Hesperodiaptomus.caducus,Hesperodiaptomus caducus,Species,Calanoida,2.85,Edmondson.1959,Diaptomus caducus,3,"Hesperodiaptomus caducus (Light, 1938)"
Hesperodiaptomus.eiseni,Hesperodiaptomus eiseni,Species,Calanoida,3.3,Edmondson.1959,Diaptomus eiseni,3,"Hesperodiaptomus eiseni (Lilljeborg in Guerne & Richard, 1889)"
Hesperodiaptomus.franciscanus,Hesperodiaptomus franciscanus,Species,Calanoida,1.55,Edmondson.1959,Diaptomus franciscanus,3,"Hesperodiaptomus franciscanus (Lilljeborg in Guerne & Richard, 1889)"
Hesperodiaptomus.hirsutus,Hesperodiaptomus hirsutus,Species,Calanoida,1.84,Edmondson.1959,Diaptomus hirsutus,3,"Hesperodiaptomus hirsutus (Wilson, 1953)"
Hesperodiaptomus.kenai,Hesperodiaptomus kenai,Species,Calanoida,2.4,Edmondson.1959,Diaptomus kenai,3,"Hesperodiaptomus kenai (Wilson, 1953)"
Hesperodiaptomus.nevadensis,Hesperodiaptomus nevadensis,Species,Calanoida,3.78,Edmondson.1959,Diaptomus nevadensis,3,"Hesperodiaptomus nevadensis (Light, 1938)"
Hesperodiaptomus.novemdecimus,Hesperodiaptomus novemdecimus,Species,Calanoida,3.78,Edmondson.1959,Diaptomus novemdecimus,3,"Hesperodiaptomus novemdecimus (Wilson, 1953)"
Hesperodiaptomus.shoshone,Hesperodiaptomus shoshone,Species,Calanoida,3.3,Edmondson.1959,Diaptomus shoshone,3,"Hesperodiaptomus shoshone (Forbes, 1893)"
Hesperodiaptomus.victoriaensis,Hesperodiaptomus victoriaensis,Species,Calanoida,2.7,Edmondson.1959,Diaptomus victoriaensis,3,"Hesperodiaptomus victoriaensis (Reed, 1958)"
Heterocope.septentrionalis,Heterocope septentrionalis,Species,Calanoida,2.5,Luecke & OBrien.1981,Heterocope septentrionalis,3,"Heterocope septentrionalis (Juday & Muttkowski, 1915)"
Leptodiaptomus,Leptodiaptomus,Genus,Calanoida,1.21,Genus mean ,Genus mean,3,"Leptodiaptomus (Light, 1938)"
Leptodiaptomus.angustilobus,Leptodiaptomus angustilobus,Species,Calanoida,1.4,Edmondson.1959,Diaptomus pribilofensis,3,"Leptodiaptomus angustilobus (Sars, 1898)"
Leptodiaptomus.ashlandi,Leptodiaptomus ashlandi,Species,Calanoida,1.15,Edmondson.1959,Diaptomus ashlandi,3,"Leptodiaptomus ashlandi (Marsh, 1893)"
Leptodiaptomus.connexus,Leptodiaptomus connexus,Species,Calanoida,1.2,Edmondson.1959,Diaptomus connexus,3,"Leptodiaptomus connexus (Light, 1938)"
