ID,Lake,Elevation,Latitude,Longitude,Area,Depth,Sampling.events,Sampling.years
339,Indian Springs Lake (W46),1355.354004,49.12749499,-113.873222,65472.71856,1.5,5,3
340,Buffalo Creek Pond,1335.147217,49.12788797,-113.854915,8504.069001,2,10,5
342,Rowe Lake (middle),2163.381592,49.05244951,-114.055998,14928.63258,12,2,2
343,Carthew Pond,2150.216553,49.02849656,-113.9883549,5988.410024,0.5,1,1
344,Waterton Lake (upper),1273.96228,49.0230211,-113.9025625,9293147.022,135.3,6,6
345,Knights Lake,1279.515625,49.08995206,-113.8536415,1477033.08,4,6,6
346,Lineham Lake (south),2160.404785,49.07199813,-114.0738772,51825.06985,17,1,1
347,Maskinonge Lake,1277.246582,49.10776477,-113.8362456,537410.5687,2,8,3
348,Lineham Lake (north),2166.262207,49.07736566,-114.0740821,197891.092,29,1,1
349,Pond (near park entrance buildings),1278.645142,49.1136216,-113.8442686,55073.20873,2,2,1
350,Buffalo Paddock Pond (W45D),1338.269043,49.12228946,-113.8589936,5535.502399,2.5,2,1
351,Twin Lake (upper),1960.462402,49.13415892,-114.157435,70047.0691,13,4,3
352,Buffalo Paddock Lake,1346.313354,49.12736025,-113.8609442,27256.27392,3.5,1,1
353,Twin Lake (lower),1942.847778,49.13224047,-114.1518959,32258.48616,8,4,3
354,Beaver Pond D (W64),1323.245728,49.12458476,-113.8527923,2242.794797,1.5,2,1
355,Beaver Pond B (W31),1523.414673,49.06055268,-113.7460027,16179.14304,3,2,1
356,Carthew Lake (lower),2151.106445,49.0279015,-113.9908231,58939.92207,11,2,2
357,Buffalo Paddock Pond (W45B),1347.368164,49.12614722,-113.8623275,2704.55908,1,2,1
358,Allison Lake,1288.487549,49.12269046,-113.8142871,77213.19537,2.4,7,3
359,Lost Lake,1894.716431,49.14716372,-114.1452523,14474.89798,12,6,5
360,Carthew Lake (upper),2200.635742,49.02521822,-113.995738,31527.22093,13,2,2
361,Buffalo Paddock Pond (W45C),1348.348511,49.12484491,-113.8644048,6632.496736,1.5,2,1
362,Beaver Pond A (W33),1529.297363,49.05564483,-113.7416663,2418.495854,1.5,1,1
363,Indian Springs Pond (W49),1354.290649,49.12435113,-113.878414,23910.40186,0.5,2,1
364,Pecks Basin,1953.647217,49.12102701,-114.147412,9811.201719,1.5,2,2
365,Indian Springs Pond (W48C),1364.575439,49.12963476,-113.8786789,2475.23464,1.5,3,2
366,Lineham Lake (main),2111.020752,49.07191565,-114.061475,114299.4333,23,1,1
367,Indian Springs Pond (W48A),1359.036987,49.12757982,-113.8784639,12885.30999,2,4,2
368,Buffalo Lake,1343.962891,49.12918618,-113.8584308,58154.55866,3.6,3,2
370,Loon Lake,1325.14917,49.04497039,-113.8937947,13604.0631,1,1,1
371,Summit Lake,1945.635986,49.0070112,-114.0251727,18778.92256,2,3,3
372,Cameron Lake,1658.102051,49.00806642,-114.049345,1410060.356,39,6,4
373,Lonesome Lake,1302.524536,49.07392402,-113.8912595,156913.6519,2.6,5,3
374,Bertha Lake,1769.703003,49.02315026,-113.9438177,302543.6849,18.1,3,3
375,Crypt Lake,1930.553467,49.00141124,-113.8405757,148326.9557,44,2,2
376,Lone Lake,2022.138306,49.08861595,-114.1313528,25345.65702,13,1,1
377,Alderson Lake,1859.651611,49.0294369,-113.9750022,117454.4597,60,3,3
378,Rowe Lake (lower),1960.827271,49.05337345,-114.0502761,17636.86495,8,3,3
379,Linnet Lake,1286.235107,49.06174054,-113.9048733,40592.54166,3.2,25,6
38,Hobiton,10.441327,48.75607,-124.79988,3659066.691,95,26,3
380,Rowe Lake (upper),2182.032227,49.05056398,-114.0593126,69261.91978,3,3,3
381,Indian Springs North Pond (W47),1358.264404,49.13177628,-113.8736341,22968.48236,4,4,2
382,Goat Lake,2002.671997,49.1629509,-114.0912916,24935.95443,3.4,3,3
383,Giants Mirror,1371.749634,49.05220571,-113.6868738,3360.6864,5,3,1
384,Akamina Lake,1666.312012,49.02332466,-114.0402063,36530.9306,5,2,1
385,Crandell Lake,1532.551392,49.08681008,-113.9674315,60883.11414,15.5,6,4
386,Kesler Lake,1519.47876,49.18313645,-113.9371776,105854.3878,2,1,1
387,Ruby Lake,2032.064453,49.09238934,-114.0197412,19651.65799,4.2,1,1
388,Beaver Pond C (W63),1313.899536,49.12139833,-113.8492235,2319.497381,2,2,1
389,Beaver Pond E (W65),1331.654419,49.12690689,-113.8538441,449.457003,1.2,2,1
39,Heydon,33.649662,50.53988,-125.67184,8125772.629,112.9,1,1
390,Bellevue Terrace (north pond),1363.360962,49.10538822,-113.8757813,6047.529998,2.5,1,1
391,Bellevue Terrace (south pond),1363.369019,49.10413924,-113.8778741,14207.43818,2.5,1,1
392,Indian Springs Pond (W48B),1362.905762,49.12870803,-113.8786801,2613.796999,1,4,2
393,Indian Springs Pond (W48D),1364.32605,49.13019367,-113.8779161,1066.693097,0.8,1,1
394,Indian Springs Pond (W48E),1364.117798,49.13153952,-113.8762666,293.5986,0.6,1,1
